"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Modelling and Forecasting - Inland","EA_DDMF","SG5","34879","42955","Advisor Incident Management and Resilience","24.80","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames","EA_DDTHM","SG3","22792","27223","Team Member Thames","74.68","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames","EA_DDTHM","SG5","34879","42955","Officer Thames","16.33","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames","EA_DDTHM","SG5","34879","42955","Team Leader Thames","15.81","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Hertfordshire and North London","EA_DDHNL","SG6","44477","55631","Senior Specialist Hertfordshire and North London","4.17","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Operations National Services - Health Safety and Wellbeing","EA_DDHSW","SG5","34879","42955","Specialist Operations National Services","14.03","Human Resources"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Kent South London and East Sussex","EA_DDKSL","SG7","55819","69471","Manager Kent South London and East Sussex","7.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames","EA_DDTHM","SG3","22792","27223","Team Member Thames","19.28","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Kent South London and East Sussex","EA_DDKSL","SG3","22792","27223","Team Member Kent South London and East Sussex","21.58","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Flood and Coastal Risk Management - National Environmental Assessment Service","EA_DDNCPMS","SG6","44477","55631","Senior Officer Operational Services","21.26","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames","EA_DDTHM","SG4","27572","33869","Officer Thames","72.37","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Monitoring - Environmental Monitoring Services","EA_DDM","SG5","34879","42955","Advisor Operational Services","20.47","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Solent and South Downs","EA_DDSLTSDN","SG5","34879","42955","Advisor Solent and South Downs","21.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Kent South London and East Sussex","EA_DDKSL","SG5","34879","42955","Advisor Kent South London and East Sussex","51.06","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Kent South London and East Sussex","EA_DDKSL","SG4","27572","33869","Officer Kent South London and East Sussex","102.64","Science and Engineering"
