"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"CEO012","N/D","SCS1","Chief of Staff","Corporate Function","Department for Transport","High Speed Two Ltd","CEOs Office Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CEO001","N/D","1","N/A","N/A","","Project Delivery Profession","West Midlands","Team is too small to detail - cost allocated to CEO001","1.00"
"CEO001","Jonathan Thompson","SCS3","Executive Chair","Corporate Function","Department for Transport","High Speed Two Ltd","CEOs Office Directorate","08081 434 434","HS2enquiries@hs2.org.uk","XX","351443","1","530000","534999","","Project Delivery Profession","West Midlands","Replaces former Chief Executive on a temporary basis on a fixed-term contract","1.00"
"CFO001","Alan Foster","SCS3","Chief Financial Officer","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CEO001","1206007","1","300000","304999","","Corporate Finance Profession","West Midlands","nan","1.00"
"CFO0033","N/D","SCS1","Head of CFO Office Special Projects (Interim)","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","339785","1","N/A","N/A","","Corporate Finance Profession","London","nan","1.00"
"LEG028","N/D","SCS1","Company Secretary","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","N/D","1","N/A","N/A","","Government Legal Profession","West Midlands","Team is too small to detail - cost allocated to CFO001","1.00"
"CFO0007","N/D","SCS1","Head of Finance - Forecasting, Planning and Analysis","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","FIN161","N/D","1","N/A","N/A","","Corporate Finance Profession","West Midlands","Team is too small to detail - cost allocated to FIN161","1.00"
"FIN161","Neil Mortimer","SCS2","Finance Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","2255748","1","175000","179999","","Corporate Finance Profession","West Midlands","nan","1.00"
"FIN164","Vacant","SCS1","Head of Finance Operations","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","FIN161","1124995","1","N/A","N/A","","Corporate Finance Profession","West Midlands","nan","1.00"
"FIN250","N/D","SCS1","Head of Construction Finance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","FIN161","958680","1","N/A","N/A","","Corporate Finance Profession","West Midlands","nan","1.00"
"FIN287","N/D","SCS1","Business Finance Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","N/D","1","N/A","N/A","","Corporate Finance Profession","West Midlands","Team is too small to detail - cost allocated to CFO001","1.00"
"FIN293","Vacant","SCS1","Head of Strategic Finance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","FIN161","N/D","1","N/A","N/A","","Corporate Finance Profession","West Midlands","Team is too small to detail - cost allocated to FIN161","1.00"
"FIN189","N/D","SCS1","Head of Financial Control and Governance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","FIN161","N/D","1","N/A","N/A","","Corporate Finance Profession","London","Team is too small to detail - cost allocated to FIN161","1.00"
"FIN201","N/D","SCS1","Head of Land and Property Finance","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","FIN161","471989","1","N/A","N/A","","Corporate Finance Profession","London","nan","1.00"
"CIO002","N/D","SCS1","Head of Strategy & Architecture","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CIO001","941470","1","N/A","N/A","","Government IT Profession","West Midlands","nan","1.00"
