"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD101","JAMES HARRA","SCS3","Chief Executive and First Permanent Secretary.","The Chief Executive's Office (CEO) is at the very centre of HMRC, headed by Chief Executive and Deputy Chief Executive and is responsible for making sure the department delivers an effective and efficient service.","HM Revenue and Customs","HM Revenue and Customs","Permanent Secretary Office","0300 200 3300","contactUs@hmrc.gov.uk","XX","2201520","1.00","195000","199999","","Policy Profession","London","Reports to Simon Case, Cabinet Secretary and Head of Civil Service","1"
"OD102","ANGELA MACDONALD","SCS3","Second Permanent Secretary","The Chief Executive's Office (CEO) is at the very centre of HMRC, headed by Chief Executive and Deputy Chief Executive and is responsible for making sure the department delivers an effective and efficient service.","HM Revenue and Customs","HM Revenue and Customs","Permanent Secretary Office","0300 200 3300","contactUs@hmrc.gov.uk","OD101","0","1.00","165000","169999","","Other","Yorkshire and The Humber","Reporting Costs included in OD101 |","1"
"OD103","MYRTLE LLOYD","SCS3","Director General Customer Services Group","Customer Services Group (CSG) brings together all operational Directorates into a single customer facing organisation. CSG supports personal and business taxes across the UK. Customer Services Group is a vital part of HMRC handling more than 50 milli","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD102","1324579","1.00","135000","139999","","Other","North West","nan","1"
"OD105","JUSTIN HOLLIDAY","SCS3","Chief Finance Officer","The role of the Chief Finance Officer's Group is to support the running of Shared Services as well as looking after Corporate Services Transformation.","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD101","5512013","1.00","175000","179999","","Government Finance Profession","London","nan","1"
"OD106","PENNY CINIEWICZ","SCS3","Director General Customer Compliance Group","Customer Compliance Group (CCG) Central Services is responsible for the delivery of corporate services, transformation and strategy portfolios within CCG.","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD102","1357843","1.00","150000","154999","","Other","London","nan","1"
"OD107","DALJIT REHAL","SCS3","Director General Chief Digital & Information Officer","CDIO Chief Operating Office are responsible for driving performance, consistency and good governance of business operations across CDIO by holding the leadership teams to account and removing impediments to allow them to perform.","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD101","1584730","1.00","205000","209999","","Other","London","nan","1"
"OD108","ESTHER WALLINGTON","SCS3","Chief People Officer","As HMRC's Chief People Officer Group, our aim is to ensure we support all our people to be at their best at work. Led by insight, driven by our organisation's values and focused on outcomes, we work with colleagues to create a great experience for ev","HM Revenue and Customs","HM Revenue and Customs","Chief People Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD101","938466","0.80","150000","154999","","Human Resources Profession","London","nan","1"
"OD109","JONATHAN ATHOW","SCS3","Director General Customer Strategy & Tax Design","Customer Strategy and Tax Design delivers fiscal and policy objectives across direct and indirect taxes for businesses and individuals and leads on customer focused design and delivery across HMRC.","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD101","2077224","1.00","135000","139999","","Other","London","nan","1"
"OD110","ALAN EVANS","SCS3","General Counsel & Solicitor","Solicitor's Office provides legal services to the whole of HMRC. This includes the conduct of tribunal and civil litigation, the provision of legal advice to the Board; work on new legislation, draft statutory instruments and other legal documents.","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD101","0","1.00","150000","154999","","Other","London","Reporting Costs included in OD101 |","1"
"OD112","N/D","SCS1","Deputy Director Borders Customer & Design","Use customer insight to develop evidence and build an understanding of technical innovations to drive the future design of customs policies and processes. Provide a single point of contact coordination for the commission of customer journeys, custome","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD230","773480","0.92","N/A","N/A","","Policy Profession","North West","nan","1"
"OD113","N/D","SCS1","Deputy Director Tax credits and Child Benefit Policy","Responsible for the policy for HMRC's welfare products policy including tax credits, child benefit and tax-free childcare.","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD369","2662893","1.00","N/A","N/A","","Policy Profession","London","nan","1"
