"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A1","20370","20370","Register Services A1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A1","20370","20370","Security Formalities Officer A1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A2","21388","21388","PDTMD Directorate Support Officer A2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A2","21388","21388","Register Services A2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","User Researcher Support Officer A3","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Business and Education Support A3","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Customer Accounts Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Deputy Director Support Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Document Reception Officer A3","8.03","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Formalities Examiner A3","29.52","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Information Centre Advisor A3","10","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Information Centre Technical Advisor A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","International Fees and Applications Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","PA to Divisional Director A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","PCT Examiner A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","PDTMD Directorate Support Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Publishing Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Quality & Feedback Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Register Services A3","25.75","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Renewals Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Sales Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Scanning Officer A3","14.42","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","A3","23097","23097","Security Operations Officer A3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","User Researcher B1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Business and Education Support B1","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Customer Experience Improvement Analyst B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Customer Insight Analyst B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Examination Support Officer Team Leader B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Examiner Assistant B1","10.72","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Executive Assistant to Deputy CEO B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Formalities Casework Lead B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Formalities Team Leader B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Formalities Training Manager B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Information Centre Team Leader B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","International Filing and Publishing B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Patent Formalities Training Lead B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Quality & Feedback Team Leader B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Register Services B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Register Services Team Leader B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Sales Manager B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Scanning Team Leader B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Secretariat Office B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Security Operations Manager B1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B1","24034","25044","Customer Engagement Co-ordinator B1","<5","Other","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Business and Education Support B2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Customer Accounts, Sales, Renewals Team Leader B2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Document Reception Team Leader B2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Examiner Assistant Technical Lead B2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Formalities Casework Advisor B2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","PDTMD Directorate Support Team Leader B2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Patent Formalities Casework & Training Manager B2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B2","27923","29320","Register Services B2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Senior Customer Insight Analyst B3","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Senior User Researcher B3","<5","Digital, Data and Technology Professions","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","User Research Operations Manager B3","<5","Digital, Data and Technology Professions","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","User Researcher B3","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Business and Education Support B3","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Examiner Assistant Team Manager B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Head of Business Operations Support Services B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Head of Information Centre B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Head of Patent Formalities Training & Technical Processing B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Head of Register Services B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Patents Formalities Manager Team Manager B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Quality Manager B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","B3","31385","32741","Register Services B3","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Lead User Researcher C1","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","BOD Technical and Succession Planning Advisor C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Customer Experience Improvement Lead C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Customer Research Manager C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Head of Quality and Complaints C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","Operations Manager C1","5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C1","41016","43067","PDTMD Directorate Support Senior Team Leader C1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Head of User Research C2","<5","Digital, Data and Technology Professions","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Business and Education Support C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Head of Customer Engagement C2","<5","Government Communication Service","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Head of Customer Insight C2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","C2","57583","60460","Head of PDTMD Directorate Support C2","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","DD Head of Customer Experience D1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","D1","66407","69725","Deputy Director of Business Operations Division D1","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Services","4471678","SCS1 Analogue","73551","78267","Divisional Director Business Operations SCS1A","<5","Operational Delivery Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Business & International Policy","4456399","B2","27923","29320","Americas and Oceania B2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Business & International Policy","4456399","B2","27923","29320","East Asia B2","<5","Policy Profession","London"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Business & International Policy","4456399","B2","27923","29320","Trade and Negotiations B2","<5","Policy Profession","Wales"
"Department for Business, Energy & Industrial Strategy","Intellectual Property Office","Business & International Policy","4456399","B3","31385","32741","Business Support B3","<5","Policy Profession","Wales"
