"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","AO","23394","26757","Administrator","<5","Other","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","EO","28080","31675","Administrator","<5","Other","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","EO","28080","31675","Administrator","<5","Other","North West"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","EO","28080","31675","Communications Officer","<5","Government Communication Service","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","EO","28080","31675","Communications Officer","<5","Government Communication Service","South West"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Administrator","<5","Other","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Business Support Officer","<5","Other","East Midlands"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Business Support Officer","<5","Other","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Business Support Officer","<5","Other","South West"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Business Support Officer","<5","Other","West Midlands"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Communications Officer","<5","Government Communication Service","East Midlands"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Communications Officer","6","Government Communication Service","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Communications Officer","<5","Government Communication Service","South West"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Communications Officer","<5","Government Communication Service","Wales"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","HEO","34854","38409","Communications Officer","<5","Government Communication Service","West Midlands"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","SEO","39516","45147","Senior Business Support Officer","<5","Other","East Midlands"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","SEO","39516","45147","Senior Business Support Officer","<5","Other","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","SEO","39516","45147","Senior Communications Officer","5","Government Communication Service","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","SEO","39516","45147","Senior Communications Officer","<5","Government Communication Service","Wales"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","SEO","39516","45147","Senior Communications Officer","<5","Government Communication Service","Yorkshire and The Humber"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","SEO+","47521","53793","Senior Business Support Officer","<5","Other","London"
"HM Land Registry","HM Land Registry","Chief Executive and Chief Land Registrar’s Directorate","1","SEO+","47521","53793","Senior Communications Officer","<5","Government Communication Service","London"
