"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","AO","20855","20855","Admin Support Officer","1.80","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","AO","20855","20855","Procurement Support Officer","2.00","Procurement"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","EO","25259","26120","Business Support Manager","2.23","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","EO","25259","26120","Procurement Officer","1.00","Procurement"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","HEO","29832","32367","Internal Auditor","7.43","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","HEO","29832","32367","Procurement Team Manager","1.00","Procurement"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","HEO Surveyor","30678","35278","Marine Surveyor","1.00","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","SEO","37428","41173","Business Manager","3.00","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","SEO","37428","41173","Procurement Manager","2.68","Procurement"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","SEO Surveyor","44105","50719","Marine Surveyor","1.00","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","Grade 7","46696","53700","Manager","2.00","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","Grade 7","46696","53700","Procurement Manager","1.00","Procurement"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","Grade 7 Surveyor","54723","64665","Marine Surveyor","1.00","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Business Improvement & Assurance/Procurement","3","Grade 6 Surveyor","65480","75299","Marine Surveyor","1.00","Internal Audit"
"Department for Transport","Maritime & Coastguard Agency","Corporate Finance","3","EO","25259","26120","Finance Officer","4.00","Finance"
"Department for Transport","Maritime & Coastguard Agency","Corporate Finance","3","HEO","29832","32367","Finance Team Manager","4.00","Finance"
"Department for Transport","Maritime & Coastguard Agency","Corporate Finance","3","SEO","37428","41173","Finance Manager","4.00","Finance"
"Department for Transport","Maritime & Coastguard Agency","Corporate Finance","3","Grade 7","46696","53700","Finance Manager","2.00","Finance"
"Department for Transport","Maritime & Coastguard Agency","Corporate Finance","3","Grade 6","57855","66533","Senior Manager","1.00","Finance"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","AO","20855","20855","HR Support Officer","2.55","Human Resources"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","AO","20855","20855","Property Support Officer","2.00","Property and asset management"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","EO","25259","26120","HR Officer","7.00","Human Resources"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","EO","25259","26120","Property Officer","3.00","Property and asset management"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","HEO","29832","32367","HR Team Manager","7.00","Human Resources"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","HEO","29832","32367","Property Support Manager","1.00","Property and asset management"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","SEO","37428","41173","HR Manager","4.45","Human Resources"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","SEO","37428","41173","Property Support Manager","1.00","Property and asset management"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","Grade 7","46696","53700","HR Business Partner","1.00","Human Resources"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","Grade 7","46696","53700","HR Manager","3.80","Human Resources"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","Grade 7","46696","53700","Property Manager","2.00","Property and asset management"
"Department for Transport","Maritime & Coastguard Agency","Human Resources & Estates","3","Grade 6","57855","66533","Senior Manager","2.00","Human Resources"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","AO","20855","20855","IT Support Officer","4.00","Information Technology"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","AO","20855","20855","Knowledge Information Management Support Officer","3.00","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","EO","25259","26120","Business Support Manager","3.00","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","EO","25259","26120","IT Officer","9.20","Information Technology"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","EO","25259","26120","Knowledge Information Management Support Officer","2.00","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","EO","25259","26120","Project Support","6.41","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","HEO","29832","32367","Business Support Team Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","HEO","29832","32367","IT Team Leader","15.00","Information Technology"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","HEO","29832","32367","Knowledge Information Management Manager","4.50","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","HEO","29832","32367","Project Support Manager","2.00","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","SEO","37428","41173","Business Manager","1.49","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","SEO","37428","41173","IT Manager","6.00","Information Technology"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","SEO","37428","41173","Project Support Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","Grade 7","46696","53700","Project Manager","2.00","Knowledge and Information Management (KIM)"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","Grade 7","46696","53700","Senior IT Manager","3.00","Information Technology"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Information & Technology","1","Grade 6","57855","66533","Senior Manager","3.00","Information Technology"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","AO","20855","20855","Admin Support Officer","24.28","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","AO","20855","20855","Operations Support Officer","122.50","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","EO","25259","26120","Admin Support Officer","3.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","EO","25259","26120","Business Support Manager","11.81","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","EO","25259","26120","Business Support Officer","1.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","EO","25259","26120","Operations Team Leader","140.38","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","HEO","29832","32367","Operations Team Leader","31.68","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","HEO","29832","32367","Business Support Team Manager","12.28","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","HEO","29832","32367","Team Leader","83.15","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","SEO","37428","41173","Business Manager","20.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","SEO","37428","41173","Operations Team Leader","25.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","SEO","37428","41173","Team Manager","19.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","Grade 7","46696","53700","Manager","24.56","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Operations","5","Grade 6","57855","66533","Senior Manager","5.00","Policy"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","AO","20855","20855","Admin Support Officer","4.00","Communications"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","EO","25259","26120","Communications Support Officer","7.06","Communications"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","HEO","29832","32367","Business Support Team Manager","11.60","Communications"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","SEO","37428","41173","Business Manager","7.00","Communications"
