"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"HMCTS1","N/D","SCS1","Operation Delivery.Deputy Director","Digital Directorate Programme Staff","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ ICT","020 3334 3555","general.queries@justice.gov.uk","HMCTS16","0","1.00","N/A","N/A","","","London","","1"
"PG1","N/D","SCS1","Policy Delivery.Deputy Director","Prison Policy Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Prisons Policy","020 3334 3555","general.queries@justice.gov.uk","PG13","0","1.00","N/A","N/A","","","London","","1"
"CICA1","Linda Brown","SCS2","Other.Director","CICA (Prog)","Ministry of Justice","Criminal Injuries Compensation Authority","DIR - CICA","020 3334 3555","general.queries@justice.gov.uk","HMPPS33","8417093","1.00","100000","104999","","","Scotland","","1"
"COOG1","N/D","SCS1","Operation Delivery.Deputy Director","Performance and Account - SES","Ministry of Justice","Ministry of Justice Headquarters","DIR - Property","020 3334 3555","general.queries@justice.gov.uk","COOG15","5422501","1.00","N/A","N/A","","","London","","1"
"HMCTS2","N/D","SCS1","Operation Delivery.Director","Regional Directors Office - Wales Region","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT Wales Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS3","18623026","1.00","N/A","N/A","","","Wales","","1"
"PSAAG1","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","0","0.67","N/A","N/A","","","London","","1"
"PSAAG2","N/D","SCS1","Other.Deputy Director","Data and Analysis Director's Office, Cross Data and Analysis Function (CDF)","Ministry of Justice","Ministry of Justice Headquarters","DIR - Data and Analysis","020 3334 3555","general.queries@justice.gov.uk","PSAAG14","3586809","1.00","N/A","N/A","","","London","","1"
"PG2","N/D","SCS1","Other.Deputy Director","Victims & Vulnerability Payroll","Ministry of Justice","Ministry of Justice Headquarters","DIR - Victims and Vulnerability","020 3334 3555","general.queries@justice.gov.uk","PG68","379543","0.61","N/A","N/A","","","London","","1"
"PSAAG3","N/D","SCS1","Operation Delivery.Deputy Director","Strategy","Ministry of Justice","Ministry of Justice Headquarters","DIR - Strategy and Innovation","020 3334 3555","general.queries@justice.gov.uk","PSAAG10","1297208","1.00","N/A","N/A","","","London","","1"
"COOG2","N/D","SCS1","Programme and Project Management.Deputy Director","Shared Services Project","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG18","0","1.00","N/A","N/A","","","London","","1"
"COOG3","N/D","SCS1","Finance.Deputy Director","Financial Reporting, Transactions & Gov","Ministry of Justice","Ministry of Justice Headquarters","DIR - Financial Management and Control","020 3334 3555","general.queries@justice.gov.uk","COOG39","3507470","1.00","N/A","N/A","","","London","","1"
"PG3","N/D","SCS1","Other.Deputy Director","Directors Office A2J","Ministry of Justice","Ministry of Justice Headquarters","DIR - Access to Justice","020 3334 3555","general.queries@justice.gov.uk","PG24","0","0.59","N/A","N/A","","","London","","1"
"HMCTS3","Mark Stewart","SCS2","Operation Delivery.Director","Operations HQ Private Office","Ministry of Justice","Her Majesty's Courts and Tribunals Service","Head of Operations","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","308323781","1.00","95000","99999","","","East of England","","1"
"SDTG1","N/D","SCS1","Other.Deputy Director","TECH SERVICES Admin","Ministry of Justice","Ministry of Justice Headquarters","DIR - Director of Technology","020 3334 3555","general.queries@justice.gov.uk","SDTG9","1794756","1.00","N/A","N/A","","","London","","1"
"OOTPG1","N/D","SCS1","Operation Delivery.Deputy Director","A/B Management Team","Ministry of Justice","Office of the Public Guardian","Operations Directorate","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","30941165","1.00","N/A","N/A","","","West Midlands","","1"
"SDTG2","N/D","SCS1","Law.Deputy Director","OSPT - Litigation Family Lawyers","Ministry of Justice","Ministry of Justice Headquarters","DIR - Official Solicitor and Public Trustee","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","5302561","1.00","N/A","N/A","","","London","","1"
"COOG4","N/D","SCS1","Other.Deputy Director","ALB Centre of Excellence","Ministry of Justice","Ministry of Justice Headquarters","DIR - Governance, Risk and Assurance","020 3334 3555","general.queries@justice.gov.uk","COOG50","1124567","1.00","N/A","N/A","","","London","","1"
"LAA1","N/D","SCS1","Law.Deputy Director","Central Salaried Defenders Service","Ministry of Justice","Legal Aid Agency","PDS","020 3334 3555","general.queries@justice.gov.uk","LAA10","3173002","1.00","N/A","N/A","","","London","","1"
"COOG5","N/D","SCS1","Human Resources.Deputy Director","Recruitment & Resourcing","Ministry of Justice","Ministry of Justice Headquarters","DIR - HR Operations","020 3334 3555","general.queries@justice.gov.uk","COOG18","3255222","1.00","N/A","N/A","","","London","","1"
"PG4","Jack Cole","SCS2","Other.Deputy Director","Ministers' Private Offices","Ministry of Justice","Ministry of Justice Headquarters","DIR - Private Office & Parliamentary","020 3334 3555","general.queries@justice.gov.uk","PG13","2945030","1.00","95000","99999","","","London","","1"
"HMCTS4","N/D","SCS1","Operation Delivery.Deputy Director","Service Excellence and Delivery (Prog)","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Customer Services","020 3334 3555","general.queries@justice.gov.uk","HMCTS69","1964592","1.00","N/A","N/A","","","West Midlands","","1"
"PG5","N/D","SCS1","Other.Deputy Director","Judicial Office - Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - Judicial Offices","020 3334 3555","general.queries@justice.gov.uk","PG60","1794570","1.00","N/A","N/A","","","London","","1"
"PG6","N/D","SCS1","Other.Deputy Director","HMI Prisons Programme","Ministry of Justice","Ministry of Justice Headquarters","DIR - HMI Prisons","020 3334 3555","general.queries@justice.gov.uk","COOG18","1528652","1.00","N/A","N/A","","","London","","1"
"HMCTS5","N/D","SCS1","Finance.Senior Manager","Medium Term Fin Planning","Ministry of Justice","Her Majesty's Courts and Tribunals Service","HQ Finance, Governance and Performance","020 3334 3555","general.queries@justice.gov.uk","HMCTS60","0","1.00","N/A","N/A","","","London","","1"
"HMCTS6","N/D","SCS1","Other.Deputy Director","South West RSU","Ministry of Justice","Her Majesty's Courts and Tribunals Service","CT SW Regional Office","020 3334 3555","general.queries@justice.gov.uk","HMCTS45","0","1.00","N/A","N/A","","","South West","","1"
