"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Head of Museum Specialist Function - Collections","40166","45294","Head of Museum Specialist Function - Collections","3.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Head of Museum Specialist Function - Public Programmes","40166","45294","Head of Museum Specialist Function - Public Programmes","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Head of Finance","40166","45294","Finance Officer","1.00","Finance"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Senior Photographic Officer","40166","45294","Senior Photographic Officer","0.68","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Senior Curatorial Officer","40166","45294","Senior Curatorial Officer","6.33","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","On-Line Content Officer","32970","37174","On-Line Content Officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Records Officer","32970","37174","Records Officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Marketing PR & Communications Manager","32970","37174","Marketing PR & Communications Manager","2.00","Communications"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Photographic Officer","32970","37174","Photographic Officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Documentation Manager","32970","37174","Documentation Manager","0.56","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20376","HR Officer","32970","37174","HR Officer","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Finance Officer","32970","37174","Finance Officer","1.00","Finance"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Stores Officer","32970","37174","Stores Officer","1.00","Procurement"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20376","Public Programmes Manager","32970","37174","Public Programmes Manager","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Curatorial Officer","26412","29766","Curatorial Officer","7.63","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Conservator","31696","35745","Conservator","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20791","Senior Personal Secretary","26412","29766","Senior Personal Secretary","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Graphic Designer","26412","29766","Graphic Designer","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Visitor Services Host","21309","22637","Visitor Services Host","2.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Museum Registrar","31696","35745","Museum Registrar","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","War Graves Adjudicator","26412","29766","War Graves Adjudicator","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Head of Facilities","40166","45294","Head of Facilities","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Facilities Officer","26412","29766","Facilities Officer","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Digital Marketing Executive","21309","22637","Digital Marketing Executive","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20791","Committee Clerk","26412","29766","Committee Clerk","0.60","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","IT Manager","32970","37174","IT Manager","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","IT Support Officer","26412","29766","IT Support Officer","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Senior IT Manager","40166","45294","Senior IT Manager","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20701","Collections Assistant","19911","21155","Collections Assistant","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Web Manager","32970","37174","Web Manager","1.00","Information Technology"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Head of Corporate Partnerships","32970","37174","Head of Corporate Partnerships","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Head of Individual Giving","40166","45294","Head of Individual Giving","1.00","Other"
"Ministry of Defence","Ministry of Defence","National Army Museum","P20474","Trusts & Foundations Manager","32970","37174","Trusts & Foundations Manager","0.60","Other"
