"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"42685588","Clark, Ms. Wendy (Wendy)","SCS3","Interim Chief Executive","Chief Executive Office","Department of Health & Social Care","NHS Blood and Transplant","Chief Executive Office","0151 268 700","Customer.services@nhsbt.nhs.uk","XX","0","1.00","165000","169999","","Other","Unknown","","1"
"39799813","Alexander, Ms. Julie Clare (Julie)","SCS2","Strategy Director","Strategy and Transformation","Department of Health & Social Care","NHS Blood and Transplant","Strategy and Transformation Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","100000","104999","","Project Delivery Profession","Unknown","","1"
"34022327","Clarkson, Mr. Anthony John (Anthony)","SCS2","Director of Organ and Tissue Donation & Transplantation","Organ and Tissue Donation and Transplantation","Department of Health & Social Care","NHS Blood and Transplant","Organ and Tissue Donation and Transplantation Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","140000","144999","","Operational Delivery Profession","Unknown","","1"
"36475054","Gillan, Mrs. Helen Louise (Helen)","SCS2","Director of Quality","Quality","Department of Health & Social Care","NHS Blood and Transplant","Quality Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","105000","109999","","Operational Delivery Profession","Unknown","","1"
"42515454","Gogarty, Mr. Gerard Francis (Gerard)","SCS2","Director Plasma for Medicines","Plasma for Medicine","Department of Health & Social Care","NHS Blood and Transplant","Plasma for Medicine Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","115000","119999","","Medical Profession","Unknown","","1"
"42414964","Kidd, Ms. Janet Louise (Jan)","SCS2","General Counsel","Quality","Department of Health & Social Care","NHS Blood and Transplant","Quality Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","130000","134999","","Operational Delivery Profession","Unknown","","1"
"38592859","McKenzie, Mrs. Deborah (Deb)","SCS2","Chief People Officer","People","Department of Health & Social Care","NHS Blood and Transplant","People Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","0","0","","Human Resources Profession","Unknown","","1"
"33236278","Miflin, Dr Gail (Gail)","SCS2","Medical and Research Director","Clinical Services","Department of Health & Social Care","NHS Blood and Transplant","Clinical Services Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","195000","199999","","Medical Profession","Unknown","","1"
"41556243","O'Brien, Mr. Paul Desmond (Paul)","SCS2","Director Blood Supply (Interim)","Blood Supply","Department of Health & Social Care","NHS Blood and Transplant","Blood Supply M&L Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","160000","164999","","Operational Delivery Profession","Unknown","","1"
"34955603","Rose, Mr. David John (David)","SCS2","Director of Donor Experience","Donor Experience and Communications","Department of Health & Social Care","NHS Blood and Transplant","Donor Experience and Communications Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","145000","149999","","Government Knowledge and Information Management Profession","Unknown","","1"
"34984546","Tinker, Miss Rebecca (Rebecca)","SCS2","Digital Delivery Director","Digital Data and Technology Services","Department of Health & Social Care","NHS Blood and Transplant","Digital Data and Technology Services Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","110000","114999","","Digital, Data and Technology Professions","Unknown","","1"
"41738998","Vincent, Mr. Carl (Carl)","SCS2","Chief Finance Officer","Finance","Department of Health & Social Care","NHS Blood and Transplant","Finance Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","42685588","0","1.00","145000","149999","","Government Finance Profession","Unknown","","1"
"38834030","Randhawa, Mrs. Simmerjit Kaur (Simi)","SCS1","Assistant Director Portfolio Management & Head of Profession","Strategy and Transformation","Department of Health & Social Care","NHS Blood and Transplant","Strategy and Transformation Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","39799813","0","1.00","95000","99999","","Project Delivery Profession","Unknown","","1"
"38591780","Bennett, Mr. Kyle Edward (Kyle)","SCS1","Assistant Director - Tissue and Eye services","Organ and Tissue Donation and Transplantation","Department of Health & Social Care","NHS Blood and Transplant","Organ and Tissue Donation and Transplantation Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","34022327","0","1.00","85000","89999","","Operational Delivery Profession","Unknown","","1"
"14629572","Hume, Mr. Ben (Ben)","SCS1","Assistant Director of Strategy Transformation & Business Dev","Organ and Tissue Donation and Transplantation","Department of Health & Social Care","NHS Blood and Transplant","Organ and Tissue Donation and Transplantation Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","34022327","0","1.00","90000","94999","","Operational Delivery Profession","Unknown","","1"
"31918644","McGowan, Mrs. Olive (Olive)","SCS1","ODT Assistant Director - Education & Governance","Organ and Tissue Donation and Transplantation","Department of Health & Social Care","NHS Blood and Transplant","Organ and Tissue Donation and Transplantation Directorate","0151 268 700","Customer.services@nhsbt.nhs.uk","34022327","0","1.00","90000","94999","","Operational Delivery Profession","Unknown","","1"
