"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","AO","22940","30555","Assistant Investigator","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","AO","22940","30555","Casework Administrator","11.79","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","AO","22940","30555","Kalisher Intern","5","Government Legal Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","EO","26500","33686","Casework Administration Team Leader","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","HEO","29291","42401","Legal and Information Officer","<5","Government Legal Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","SEO","38000","52863","Case Review Manager","16.98","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","SEO","38000","52863","Case Review Manager (Specialist)","8.96","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","SEO","38000","52863","Investigator","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","SEO","38000","52863","Senior Case Review Manager","5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","SEO","38000","52863","Senior Lawyer","<5","Government Legal Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","Grade 7","48515","62413","Group Leader","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","Grade 7","48515","62413","Head of Investigations","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework","2","Grade 6","80000","88128","In-house Counsel","<5","Government Legal Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","3","AO","22940","30555","Business Services Administrator","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","AO","22940","30555","Engagement Administrator","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","3","AO","22940","30555","IT Helpdesk First Line Support","<5","Digital, Data and Technology Professions","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","AO","22940","30555","Outreach Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","AO","22940","30555","Quality and Decision Co-ordinator","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","AO","22940","30555","Quality Assistant","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","3","AO","22940","30555","Records Management Assistant","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","EO","26500","33686","Lead Outreach Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","3","HEO","29291","42401","Business Services Manager","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Customer Service Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Digital Communications Officer","<5","Digital, Data and Technology Professions","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Equality, Diversity and Inclusion Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Executive Assistant to Chairman","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Historian and Press Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Internal Communications Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Planning & Performance Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Press Officer","<5","Government Communication Service","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","HEO","29291","42401","Quality Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","2","SEO","38000","52863","Casework Operations Manager","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","3","SEO","38000","52863","Data Protection Compliance Officer","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","3","SEO","38000","52863","IT Service Operations Manager","<5","Digital, Data and Technology Professions","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","SEO","38000","52863","Knowledge & MI Manager","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","Grade 6","80000","88128","Head of Business Planning and Performance","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","2","Grade 6","80000","88128","Head of Casework Operations","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","Grade 6","80000","88128","Head of Communications & External Affairs","<5","Government Communication Service","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","Grade 7","48515","62413","Head of Applicant Engagement","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","3","Grade 7","48515","62413","Head of Information Governance","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Casework Support","1","Grade 7","48515","62413","Head of Quality","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","1","AO","22940","30555","HR Administrator","<5","Human Resources Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","1","EO","26500","33686","HR Advisor","<5","Human Resources Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","3","EO","26500","33686","Finance officer","<5","Government Finance Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","3","EO","26500","33686","Health and Safety Security and Facilities Advisor","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","1","HEO","29291","42401","Executive Assistant to Chief Executive and Directors","<5","Operational Delivery Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","1","HEO","29291","42401","HR Development & Support Officer","<5","Human Resources Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","1","HEO","29291","42401","Learning and Development Officer","<5","Human Resources Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","3","SEO","38000","52863","Finance manager","<5","Government Finance Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","1","SEO","38000","52863","Resourcing Manager","<5","Human Resources Profession","West Midlands"
"Ministry of Justice","Criminal Cases Review Commission","Corporate Function","3","SEO","38000","52863","Project Manager","<5","Operational Delivery Profession","West Midlands"
