"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Delivery","8","Grade 06","67677","77201","Director/Regional Director","7.10","Operational Delivery Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Delivery","8","Grade 07","53222","63686","Area Director/Head","14.10","Operational Delivery Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Delivery","8","Grade 08","41068","48475","Individual Conciliator/Senior Advisor","93.80","Operational Delivery Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Delivery","8","Grade 09","32105","39363","Conciliator/Trainner/Helpline Manager","361.30","Operational Delivery Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Delivery","8","Grade 10","25161","31074","Helpline Advisor","246.40","Operational Delivery Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Delivery","8","Grade 11","20790","25587","Administrator","30.10","Operational Delivery Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategy","9","Grade 07","53222","63686","Head of Communications/Information","5.30","Government Communication Service","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategy","9","Grade 08","41068","48475","Senior Policy/Research/Media Adviser","16.00","Government Social Research Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategy","9","Grade 09","32105","39363","Policy Adviser/Media/Communications Manager","11.40","Government Communication Service","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategy","9","Grade 10","25161","31074","Information Manager","4.00","Government Knowledge and Information Management Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategic planning, performance and Change","9","Grade 07","53222","63686","Head of Planning Performance, Risk and Governance","3.00","Government Planning Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategic planning, performance and Change","9","Grade 08","41068","48475","Senior Governance & Secretariat Manager/Change/Project Manager","4.00","Government Planning Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategic planning, performance and Change","9","Grade 09","32105","39363","Business Engagement Manager","0.80","Government Planning Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Strategic planning, performance and Change","9","Grade 10","25161","31074","Planning Performance Manager/PA","4.00","Government Planning Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Digital, Data, Technology","4","Grade 06","67677","77201","Head of Projects/Digital","3.00","Digital, Data and Technology Professions","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Digital, Data, Technology","4","Grade 07","53222","63686","Head of Areas","10.40","Digital, Data and Technology Professions","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Digital, Data, Technology","4","Grade 08","41068","48475","Senior Ddat","23.40","Digital, Data and Technology Professions","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Digital, Data, Technology","4","Grade 09","32105","39363","End User/ Managers","16.70","Digital, Data and Technology Professions","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Digital, Data, Technology","4","Grade 10","25161","31074","Service Desk Analyst","7.50","Digital, Data and Technology Professions","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Finance, Estates, Procurement","2","Grade 07","53222","63686","Assistant Director - Finance","3.00","Government Finance Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Finance, Estates, Procurement","2","Grade 08","41068","48475","Senior Finance/Estates/Procurement/Pay Manager","3.00","Government Finance Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Finance, Estates, Procurement","2","Grade 09","32105","39363","Finance/Estates/Procurement/Pay Manager","6.00","Government Finance Profession","Unknown"
"Department for Business, Energy & Industrial Strategy","Advisory, Conciliation and Arbitration Service","Finance, Estates, Procurement","2","Grade 10","25161","31074","Finance/Estates/Procurement/Pay Officer Leader","6.00","Government Finance Profession","Unknown"
