"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","Partnering & Engagement Officer","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","executive officer","29539","30774","Continuous Improvement Analyst","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Finance & Corporate Services","70000031","executive officer","29539","30774","Treasury Assistant","<5","Government Finance Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","administrative officer","24559","24559","Assistant","<5","Government Security Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","higher executive officer","35744","37127","ARCS Tech","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Finance & Corporate Services","70000031","higher executive officer","35744","37127","Treasury Manager","<5","Government Finance Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","administrative officer","24559","24559","ARCS","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","higher executive officer","35744","37127","AIO Tech","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Distributor Audit Manager","<5","Internal Audit Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","senior executive officer","45645","47878","Engagement Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","executive officer","29539","30774","Environmental Database","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","RN ENC Co-ordinator","<5","Operational Delivery Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Finance & Corporate Services","70000031","senior executive officer","45645","47878","Historical Advisor","<5","Government Knowledge and Information Management Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","administrative officer","24559","24559","Curator","<5","Operational Delivery Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","higher executive officer","35744","37127","ALRS","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","higher executive officer","35744","37127","Met Editor","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","higher executive officer","35744","37127","MFDB Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","higher executive officer","35744","37127","Systems Analyst","<5","Digital, Data and Technology Professions","South West"
"Ministry of Defence","UK Hydrographic Office","Technology","60007628","higher executive officer","35744","37127","Architecture Support","<5","Digital, Data and Technology Professions","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","senior executive officer","45645","47878","Geospatial Data Management Technical Lead","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","higher executive officer","35744","37127","Data Management Technical Support","<5","Government Communication Service","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Business Development Officer","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Head of Strategic Business Intelligence","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Research Manager","<5","Government Knowledge and Information Management Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","senior executive officer","45645","47878","CSA SDA Account Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Finance & Corporate Services","70000031","higher executive officer","35744","37127","Corporate Pricing and Reporting Officer","<5","Government Finance Profession","South West"
"Ministry of Defence","UK Hydrographic Office","People","70000027","senior executive officer","45645","47878","Secretariat and Corporate Governance Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Technology","60007628","grade 7","57686","60695","Principal Software Developer","<5","Digital, Data and Technology Professions","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Custodian Licensing Executive","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Data Licensing Compliance Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","senior executive officer","45645","47878","IC-ENC Distribution Assurance Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Finance & Corporate Services","70000031","higher executive officer","35744","37127","Payroll Manager","<5","Government Finance Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Finance & Corporate Services","70000031","senior executive officer","45645","47878","Financial Accountant","<5","Government Finance Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","grade 7","57686","60695","Digital Products, Services and Publications Group Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","higher executive officer","35744","37127","Technical Author","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","People","70000027","administrative officer","24559","24559","Personal Assistant","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Technology","60007628","grade 7","57686","60695","Portfolio Enablement Manager","<5","Internal Audit Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Hd of Corporate Marketing Communications","<5","Government Communication Service","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Brand Manager","<5","Government Communication Service","South West"
"Ministry of Defence","UK Hydrographic Office","People","70000027","grade 6","71339","76861","Head of Corporate Strategy","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","senior executive officer","45645","47878","Operations Application Manager","<5","Digital, Data and Technology Professions","South West"
"Ministry of Defence","UK Hydrographic Office","Technology","60007628","grade 6","71339","76861","Head of Data Science and Engineering","<5","Government Science and Engineering Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Operations","60000389","senior executive officer","45645","47878","Data Governance & Production Engineering Team Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","higher executive officer","35744","37127","Service Delivery","<5","Operational Delivery Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Technology","60007628","grade 7","57686","60695","Data Science Capability Manager","<5","Government Science and Engineering Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","executive officer","29539","30774","Assistant Licensing Account Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","executive officer","29539","30774","Service Delivery","<5","Operational Delivery Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 6","71339","76861","Head of Commercial and External Affairs","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 6","71339","76861","Head of Customer Strategy and Innovation","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 6","71339","76861","Head of Global Brand and Marketing Communication","<5","Government Communication Service","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Commercial Business Architect","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Content Marketing Manager","<5","Government Communication Service","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Digital Marketing Manager","<5","Government Communication Service","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Head of Customer CI & Change","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Head of External Affairs","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Head of Licensing, Channel and Partnering Programmes","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Head of Research, Design & Innovation","<5","Government Knowledge and Information Management Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Head of Technical Partnerships","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Innovation Delivery Manager","<5","Digital, Data and Technology Professions","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","grade 7","57686","60695","Sales Manager - Maritime","<5","Corporate Finance Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Account Executive","<5","Corporate Finance Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Commercial Technical Executive","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Data Licensing Compliance Executive","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Market Research Executive","<5","Government Knowledge and Information Management Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","Marketing Communications Executive","<5","Government Communication Service","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","higher executive officer","35744","37127","User Experience Researcher","<5","Government Knowledge and Information Management Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Channel Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Commercial Continual Improvement Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Commercial Technical Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Customer Services Manager","<5","Operational Delivery Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Customer Strategy Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Lead User Experience Designer","<5","Digital, Data and Technology Professions","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Licensing Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Customer","70000075","senior executive officer","45645","47878","Technical Relationship Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","administrative officer","24559","24559","Business Assistant","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","administrative officer","24559","24559","Business Manager Assistant","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","administrative officer","24559","24559","Geospatial Information Specialist","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","administrative officer","24559","24559","International Training Officer","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","administrative officer","24559","24559","SDA Support Officer","<5","Operational Delivery Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","executive officer","29539","30774","Business Manager Assistant","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","executive officer","29539","30774","IC- ENC Data Validator","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","executive officer","29539","30774","IC-ENC Assistant","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","executive officer","29539","30774","VIP Visits Manager","<5","Operational Delivery Profession","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 6","71339","76861","Head of Branch","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 6","71339","76861","Head of Data Supplier Collection & Engagement","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","Development Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","Head of Hydrographic Programmes","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","Head of International Bodies and Technical Engagement","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","Head of UK Data Partnerships","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","IC-ENC General Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","International Hydrographic Portfolio Manager","<5","Other","South West"
"Ministry of Defence","UK Hydrographic Office","Data Acquisition","70000075","grade 7","57686","60695","Programme Manager","<5","Project Delivery Profession","South West"
