"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"HM Revenue and Customs","VOA","Finance Group","13043","AO","24330","28740","Finance Group, Assistant Officer","<5","Corporate Finance Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13043","EO","28360","34550","Finance Group, Officer","<5","Corporate Finance Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13043","EO","28360","34550","Finance Group, Officer","<5","Operational Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13043","EO","28360","34550","Finance Group, Officer","<5","Project Delivery Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13043","EO","28360","34550","Finance Group, Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","VOA","Finance Group","13043","G6","67238","79628","Finance Group, Grade 6","<5","Corporate Finance Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13043","G6","67238","79628","Finance Group, Grade 6","<5","Operational Delivery Profession","South East"
"HM Revenue and Customs","VOA","Finance Group","13043","G6","67238","79628","Finance Group, Grade 6","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13043","G6","67238","79628","Finance Group, Grade 6","<5","Project Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13043","G7","54631","66683","Finance Group, Grade 7","<5","Corporate Finance Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13043","G7","54631","66683","Finance Group, Grade 7","<5","Corporate Finance Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13043","G7","54631","66683","Finance Group, Grade 7","<5","Project Delivery Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13043","G7","54631","66683","Finance Group, Grade 7","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","VOA","Finance Group","13043","G7","54631","66683","Finance Group, Grade 7","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13043","G7","54631","66683","Finance Group, Grade 7","<5","Project Delivery Profession","Wales"
"HM Revenue and Customs","VOA","Finance Group","13043","G7","54631","66683","Finance Group, Grade 7","<5","Project Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13043","HEO","34036","40451","Finance Group, Higher Officer","<5","Corporate Finance Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13043","HEO","34036","40451","Finance Group, Higher Officer","<5","Corporate Finance Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13043","HEO","34036","40451","Finance Group, Higher Officer","<5","Human Resources Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13043","HEO","34036","40451","Finance Group, Higher Officer","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13043","SEO","40185","50120","Finance Group, Senior Officer","<5","Corporate Finance Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13043","SEO","40185","50120","Finance Group, Senior Officer","<5","Operational Delivery Profession","South West"
"HM Revenue and Customs","VOA","Finance Group","13043","SEO","40185","50120","Finance Group, Senior Officer","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13445","EO","28360","34550","Finance Group, Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","VOA","Finance Group","13445","G6","67238","79628","Finance Group, Grade 6","<5","Corporate Finance Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13445","G6","67238","79628","Finance Group, Grade 6","<5","Corporate Finance Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13445","G7","54631","66683","Finance Group, Grade 7","<5","Corporate Finance Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13445","G7","54631","66683","Finance Group, Grade 7","<5","Corporate Finance Profession","South West"
"HM Revenue and Customs","VOA","Finance Group","13445","G7","54631","66683","Finance Group, Grade 7","<5","Government IT Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13445","G7","54631","66683","Finance Group, Grade 7","<5","Project Delivery Profession","London"
"HM Revenue and Customs","VOA","Finance Group","13445","HEO","34036","40451","Finance Group, Higher Officer","<5","Corporate Finance Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Finance Group","13445","HEO","34036","40451","Finance Group, Higher Officer","<5","Government Economic Service","London"
"HM Revenue and Customs","VOA","Finance Group","13445","HEO","34036","40451","Finance Group, Higher Officer","<5","Government Economic Service","North West"
"HM Revenue and Customs","VOA","Finance Group","13445","HEO","34036","40451","Finance Group, Higher Officer","<5","Government Property Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13445","HEO","34036","40451","Finance Group, Higher Officer","<5","Operational Delivery Profession","South West"
"HM Revenue and Customs","VOA","Finance Group","13445","SEO","40185","50120","Finance Group, Senior Officer","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","VOA","Finance Group","13445","SEO","40185","50120","Finance Group, Senior Officer","<5","Operational Delivery Profession","South West"
"HM Revenue and Customs","VOA","Finance Group","13445","SEO","40185","50120","Finance Group, Senior Officer","<5","Policy Profession","South West"
"HM Revenue and Customs","VOA","Finance Group","13445","SEO","40185","50120","Finance Group, Senior Officer","<5","Project Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Chief Valuer Group","13763","EO","28360","34550","Chief Valuer Group, Officer","<5","Government Property Profession","London"
"HM Revenue and Customs","VOA","Chief Valuer Group","13763","G6","67238","79628","Chief Valuer Group, Grade 6","<5","Government Property Profession","Wales"
"HM Revenue and Customs","VOA","Chief Valuer Group","13763","HEO","34036","40451","Chief Valuer Group, Higher Officer","<5","Operational Delivery Profession","Wales"
"HM Revenue and Customs","VOA","Chief Valuer Group","13763","HEO","34036","40451","Chief Valuer Group, Higher Officer","<5","Operational Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","EO","28360","34550","Strategy & Transformation Group, Officer","<5","Operational Delivery Profession","Wales"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","G6","67238","79628","Strategy & Transformation Group, Grade 6","<5","Project Delivery Profession","London"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","G6","67238","79628","Strategy & Transformation Group, Grade 6","<5","Project Delivery Profession","Wales"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","G7","54631","66683","Strategy & Transformation Group, Grade 7","<5","Project Delivery Profession","South West"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","G7","54631","66683","Strategy & Transformation Group, Grade 7","<5","Project Delivery Profession","West Midlands"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","HEO","34036","40451","Strategy & Transformation Group, Higher Officer","<5","Government Property Profession","Wales"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","HEO","34036","40451","Strategy & Transformation Group, Higher Officer","<5","Project Delivery Profession","London"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","HEO","34036","40451","Strategy & Transformation Group, Higher Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","HEO","34036","40451","Strategy & Transformation Group, Higher Officer","<5","Project Delivery Profession","Wales"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","HEO","34036","40451","Strategy & Transformation Group, Higher Officer","<5","Project Delivery Profession","West Midlands"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","SEO","40185","50120","Strategy & Transformation Group, Senior Officer","<5","Government Property Profession","Wales"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","SEO","40185","50120","Strategy & Transformation Group, Senior Officer","<5","Project Delivery Profession","East of England"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","14428","SEO","40185","50120","Strategy & Transformation Group, Senior Officer","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","EO","28360","34550","Strategy & Transformation Group, Officer","<5","Intelligence Analysis","London"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","EO","28360","34550","Strategy & Transformation Group, Officer","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","EO","28360","34550","Strategy & Transformation Group, Officer","<5","Operational Delivery Profession","South West"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","EO","28360","34550","Strategy & Transformation Group, Officer","<5","Project Delivery Profession","South West"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","G7","54631","66683","Strategy & Transformation Group, Grade 7","<5","Project Delivery Profession","South West"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","HEO","34036","40451","Strategy & Transformation Group, Higher Officer","<5","Operational Delivery Profession","London"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","HEO","34036","40451","Strategy & Transformation Group, Higher Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","VOA","Strategy & Transformation Group","15141","SEO","40185","50120","Strategy & Transformation Group, Senior Officer","<5","Project Delivery Profession","South West"
