"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","AA","19000","19000","Administrative Assistant","<5","Operational Delivery Profession","West Midlands"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","AO","22497","22497","Finance Support Officer","<5","Government Finance Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","AO","22497","22497","Admin Support Officer","<5","Government Property Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","AO","22497","22497","Admin Support Officer","27.48","Operational Delivery Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","AO","22497","22497","Admin Support Officer","10.54","Operational Delivery Profession","West Midlands"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Finance Officer","<5","Government Finance Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","HR Officer","<5","Human Resources Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","IT Support Officer","<5","Digital, Data and Technology Professions","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","IT Support Officer","<5","Digital, Data and Technology Professions","West Midlands"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Support Officer","<5","Operational Delivery Profession","South East"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Support Officer","<5","Operational Delivery Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Support Officer","<5","Internal Audit Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Support Officer","10","Operational Delivery Profession","West Midlands"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Support Officer","<5","Government Science and Engineering Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Support Officer","<5","Government Science and Engineering Profession","West Midlands"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Team Leader","<5","Operational Delivery Profession","South West"
"Department for Transport","Vehicle Certification Agency","Vehicle Certification Agency","45","EO","27243","27921","Operational Team Leader","<5","Operational Delivery Profession","West Midlands"
