UK SBS GPC Transactions July 2015 - March 2016,,,
,,,
Transaction Type,Transaction Date,Merchant, Total 
Individual GPC,02/10/15,ADEPT NETWORKS LTD," 1,813.16 "
Individual GPC,13/10/15,TABOR COMMUNICATIONS, 670.62 
Individual GPC,21/10/15,ROYAL SOCIETY OF CHEMI, 540.00 
Individual GPC,26/10/15,CABBELL PUBLISHING LTD, 660.00 
Individual GPC,27/11/15,MAG EVENTS, 504.00 
Individual GPC,22/01/16,WP-CII TRAINING TECH, 648.00 
Individual GPC,22/01/16,WP-CII TRAINING TECH, 648.00 
Individual GPC,06/01/16,THE FT LTD-GBP, 600.00 
Individual GPC,02/02/16,"STACK EXCHANGE, INC.", 599.00 
Individual GPC,04/02/16,ADEPT NETWORKS LTD," 1,155.44 "
Individual GPC,22/02/16,WWW.HARDWARE.COM, 586.74 
Individual GPC,01/03/16,WESTMINSTER FORUM, 504.00 
Individual GPC,22/03/16,ADEPT NETWORKS LTD," 1,622.95 "
Individual GPC,21/03/16,TABOR COMMUNICATIONS, 709.11 
Individual GPC,31/03/16,TABOR COMMUNICATIONS, 711.54 
,,,
,,,
,,,
,,,
,,,
