Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/12/2022,Contract Staff,Production Services,Alexander Mann Solutions Ltd,99845980,"2,740.74",Recruitment Services,EC2N 3AQ
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/12/2022,T&S - Subsistence,Executive Function,Unspecified,99847971,280.00,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,01/12/2022,Other Staff Benefits,People,Amazon EU SARL,99848281,525.00,ZZ-Employee Benefits,EC2A 2FA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,02/12/2022,Recruitment Costs,Production Services,Hays Specialist Recruitment Ltd,99848084,"6,819.88",Recruitment Services,KT3 4QF
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Computer Software Licences,Production Services,Bottomline Technologies Ltd,99817218,"48,050.63",Computer Consumables,RG7 4SA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Computing Consumables,D&I Management,Unspecified,99847715,151.25,GPC_Computer Consumables,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99847715,-151.25,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Computing Consumables,D&I Management,Unspecified,99847716,160.74,GPC_Computer Consumables,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,GPC Clearing - SSC,Balance Sheet,Unspecified,99847716,-160.74,Unspecified,HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Recruitment Costs,Corporate HR,Everwell Occupational Health Ltd,99848142,378.00,Professional Services,CW11 3AE
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Computer Software Licences,Production Services,Bottomline Technologies Ltd,99848787,-871.92,Computer Consumables,RG7 4SA
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,Feldman Ltd T/A Brian Feldman and Associates,99849436,780.00,Training,SW15 5RH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,Feldman Ltd T/A Brian Feldman and Associates,99849437,780.00,Training,SW15 5RH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,Feldman Ltd T/A Brian Feldman and Associates,99849438,780.00,Training,SW15 5RH
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,T&S - Parking Tolls Congestion Charges,Operational Assurance,Unspecified,99849440,13.10,"Parking, Tolls, Congestion Charge",HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,T&S - Public Transport,Operational Assurance,Unspecified,99849440,20.00,Public Transport - Taxi Fare (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,T&S - Subsistence,Operational Assurance,Unspecified,99849440,50.00,Evening Meal (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,T&S - Subsistence,Operational Assurance,Unspecified,99849440,26.18,Lunch (Actuals),HOME
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99850817,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99850818,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,ASK Europe PLC,99850819,504.00,Training,MK43 0BT
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Computer Software,SIAM,Softcat plc,99850822,603.89,Computing Software,SL7 1LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Computer Software,SIAM,Softcat plc,99850823,333.34,Computing Software,SL7 1LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Computer Software,SIAM,Softcat plc,99850823,176.20,Computing Software,SL7 1LW
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,St John Ambulance Wiltshire,99850940,-810.00,"Full refund received of £810 received on 27/10/2022, due to duplicate payment. Refund re invoice 1800056460.",S8 0XN
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,St John Ambulance Wiltshire,99850941,-810.00,"Full refund received of £810 received on 27/10/2022, due to duplicate payment. Refund re invoice 1800105425.",S8 0XN
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,St John Ambulance Wiltshire,99850942,"-1,242.00","Full refund received of £1242 received on 27/10/2022, due to duplicate payment. Refund re invoice 1800153803.",S8 0XN
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,St John Ambulance Wiltshire,99850946,"-1,350.00","Full refund received of £1350 received on 27/10/2022, due to duplicate payment. Refund re invoice 1800089160.",S8 0XN
"Department for Business, Innovation and Skills",UK Shared Business Services Ltd,05/12/2022,Staff Training,HRSD Recoverables,St John Ambulance Wiltshire,99850947,"-1,242.00","Full refund received of £1242 received on 27/10/2022, due to duplicate payment. Refund re invoice 1800190255.",S8 0XN
