A3131. Expenditure Over Threshold (AP),,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,37343282,"51,702.64",C&M-APMS Contract Value,G05000003840
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,37343282,931.31,C&M-APMS List Size Adjustment,G05000003840
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,37343282,"4,114.16",C&M-APMS QOF Aspiration,G05000003840
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-APMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,37343282,39.50,C&M-APMS Voluntary Levy,G05000003840
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,12 POINT CARE LTD,37343282,579.26,C&M-PMS GP Statutory Levy,G05000003840
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,Clinical&Medical-Clinical Other,GP FORWARD VIEW,12 POINT CARE LTD,37369937,"36,395.30",Clinical&Medical-Clinical Other,FSEN07210002
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,37541270,"94,823.59",C&M-GMS Global Sum,G05000005994
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,37541270,"1,951.92",C&M-GMS PCN DES Participation,G05000005994
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,37541270,"44,322.00",C&M-GMS Prem Actual Rent,G05000005994
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,37541270,"2,550.00",C&M-GMS Prem Rates,G05000005994
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,37541270,"11,029.10",C&M-GMS QOF Aspiration,G05000005994
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,37541270,"2,602.00",ME - GMS GP Prior Year ERs,G05000005994
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,37541270,"2,623.71",ME-GMS GP Prior Year EEs,G05000005994
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,37541222,"64,996.66",C&M-GMS Global Sum,G05000004156
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,37541222,"1,160.50",C&M-GMS PCN DES Participation,G05000004156
Department of Health,NHS East & North Hertfordshire CCG,31/07/2021,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,37541222,338.88,C&M-GMS Prem Healthcentre Rent,G05000004156
