"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"CEO001","Mark Thurston","SCS PB3","Chief Executive","Corporate Function","Department for Transport","High Speed Two Ltd","CEOs Office Directorate","08081 434 434","HS2enquiries@hs2.org.uk","XX","337246","1.00","505000","509999","","Other","20% voluntary pay decrease in place from 1 Dec 2020 – 31 March 2021 in response to the wider economic position (published salary includes pension allowance). Will be back to full pay on 1 April 2021.","1"
"CEO009","Andrew McNaughton","SCS PB2","Strategic Technical Advisor","Corporate Function","Department for Transport","High Speed Two Ltd","CEOs Office Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CEO001","0","1.00","145000","149999","","Other","","1"
"CEO012","N/D","SCS PB1","Chief of Staff","Corporate Function","Department for Transport","High Speed Two Ltd","CEOs Office Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CEO001","N/D","1.00","N/A","N/A","","Other","Team is too small to detail - cost allocated to CEO001","1"
"CFO001","Michael Bradley","SCS PB3","Chief Financial Officer","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CEO001","190055","1.00","275000","279999","","Finance","","1"
"CD451","N/D","SCS PB1","Head of Commercial Development Services","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CDC001","N/D","1.00","N/A","N/A","","Procurement","Team is too small to detail - cost allocated to CDC001","1"
"CDC001","Tom Venner","SCS PB2","Commercial Development Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","1314480","1.00","215000","219999","","Procurement","","1"
"CDC007","Vacant","SCS PB1","Head of Commercial Development In Stations","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CDC001","0","1.00","N/A","N/A","","Procurement","","1"
"CDC010","N/D","SCS PB1","Head of Commercial Development Phase 1 North","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CDC001","N/D","1.00","N/A","N/A","","Procurement","Team is too small to detail - cost allocated to CDC001","1"
"CDC003","Vacant","SCS PB1","Head of Commercial Development Phase 1 South","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","N/A","N/A","CDC001","N/D","1.00","N/A","N/A","","Procurement","Team is too small to detail - cost allocated to CDC001","1"
"FIN161","Elizabeth Gillbe","SCS PB2","Finance Director","Corporate Function","Department for Transport","High Speed Two Ltd","CFO Directorate","08081 434 434","HS2enquiries@hs2.org.uk","CFO001","2689292","1.00","215000","219999","","Finance","","1"
