"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"2","John Larkinson","SCS3","Chief Executive","Responsible for the delivery of the strategy set by the ORR Board; carrying out the duties assigned to ORR under statute; ensuring the Office operates efficiently, with integrity and probity; working closely with the ORR chair, to engage with external stakeholders at all levels.","Office of Rail and Road","Office of Rail and Road","CEO","0207 282 2000","contact.cct@orr.gsi.gov.uk","xx","0","1.00","150000","154999","","Policy","direct reports added to 000585","1"
"920","Russell Grossman","SCS2","Director of Communications","Responsible for the strategic management of ORR's reputation and the delivery of an engagement strategy which complements the organisation’s business plan and supports its regulatory approach. He will lead on and oversee all aspects of the communications directorate’s work and will advise the board on communications issues.","Office of Rail and Road","Office of Rail and Road","Communications","0207 282 2000","contact.cct@orr.gsi.gov.uk","2","699976","1.00","130000","134999","","Communications","","1"
"585","Daniel Brown","SCS2","Director of Strategy and Policy","Responsible for working with the Chief Executive and Directors to develop and implement ORR's policy and strategy for regulation of the rail sector.","Office of Rail and Road","Office of Rail and Road","Strategy and Policy","0207 282 2000","contact.cct@orr.gsi.gov.uk","2","693829","1.00","130000","134999","","Policy","","1"
"723","Freya Guinness","SCS2","Director, Corp Ops & Org Dev","Responsible providing strategic and operational leadership across all of ORR’s corporate operations to enable the smooth running of the business and to ensure ORR is equipped to offer an efficient, effective and value for money service to its stakeholders.","Office of Rail and Road","Office of Rail and Road","Corporate Operations","0207 282 2000","contact.cct@orr.gsi.gov.uk","2","1666152","0.90","115000","119999","","Policy","","1"
"188","Ian Prosser","SCS2","Director, Railway Safety","Responsible for the work of the Railway Safety Directorate, which strives to ensure duty-holders in the railway industry manage health and safety risks effectively and thus comply with their statutory duties.","Office of Rail and Road","Office of Rail and Road","Railway Safety","0207 282 2000","contact.cct@orr.gsi.gov.uk","2","0","1.00","145000","149999","","Operational Delivery","no direct reports","1"
"128","Graham Richards","SCS2","Director, RPP","Responsible for holding Network Rail to account for its performance and its stewardship of the national railway network infrastructure, with the objective of driving a step change in whole industry performance and efficiency for the benefit of taxpayers, passengers and freight customers who rely on Britain’s railways.","Office of Rail and Road","Office of Rail and Road","Railway Planning & Performance","0207 282 2000","contact.cct@orr.gsi.gov.uk","2","0","1.00","125000","129999","","Operational Delivery","direct reports added to 000129","1"
"1303","Juliet Lazarus","SCS2","General Counsel and Director of Competition","to provide legal advice to the Board and Executive team","Office of Rail and Road","Office of Rail and Road","Legal Services","0207 282 2000","contact.cct@orr.gsi.gov.uk","2","0","0.50","65000","69999","","Law","no direct reports","1"
"949","N/D","SCS1","Deputy Director, Consumers","Responsible for leading the development and integration of ORR's consumer related work to make it more effective in delivering benefits to consumers.  To help shape and direct ORR's work on consumers, leading our strategic thinking in all areas of consumer policy.","Office of Rail and Road","Office of Rail and Road","Railway Markets & Economics","0207 282 2000","contact.cct@orr.gsi.gov.uk","585","626964","1.00","0","0","","Policy","","1"
"621","N/D","SCS1","Deputy Director, Engineering & AM","The Deputy Director, Engineering and Asset Management will lead ORR’s scrutiny of the capability and efficiency of Network Rail’s asset management, ensuring the delivery of improvements in the safety, efficiency, sustainability and performance of the railway network.","Office of Rail and Road","Office of Rail and Road","Railway Planning & Performance","0207 282 2000","contact.cct@orr.gsi.gov.uk","128","1895896","1.00","0","0","","Science and Engineering","","1"
"1177","N/D","SCS1","Deputy Director, Highways","Responsible for monitoring whether the government's Road Investment Strategy is being delivered in our role as the independent monitor of Highways England and its management of the strategic road network – the motorways and main 'A' roads in England.","Office of Rail and Road","Office of Rail and Road","Highways","0207 282 2000","contact.cct@orr.gsi.gov.uk","128","770748","1.00","0","0","","Policy","","1"
"543","N/D","SCS1","Deputy Director, Railway Safety","Lead for the Network Rail Division within the Railway Safety Directorate, with inspectors in six route teams and a national coordination team. We also deal with permissioning and inspection for Network Rail's contractors","Office of Rail and Road","Office of Rail and Road","Railway Safety","0207 282 2000","contact.cct@orr.gsi.gov.uk","188","4754460","1.00","0","0","","Operational Delivery","","1"
"597","N/D","SCS1","Deputy Director, RME","Responsible for developing a financial framework for CP6, e.g. how enhancements should be funded. I am also responsible for monitoring Network Rail's financial performance, the financial ring-fence and other financial issues.","Office of Rail and Road","Office of Rail and Road","Railway Markets & Economics","0207 282 2000","contact.cct@orr.gsi.gov.uk","585","1038371","1.00","0","0","","Economics","","1"
"90","N/D","SCS1","Deputy Director, RME","Responsible for leading on the capacity allocation decisions based on analysis of railway performance, operations and economics, linked to a sound understanding of the contractual framework. You will oversee access applications for track, stations and maintenance depots, and manage the licensing of railway operators to operate these assets.","Office of Rail and Road","Office of Rail and Road","Railway Markets & Economics","0207 282 2000","contact.cct@orr.gsi.gov.uk","585","1207489","0.80","0","0","","Policy","","1"
"129","N/D","SCS1","Deputy Director, RPP","Responsibility for overseeing the development of Network Rail's delivery plan and for the monitoring of Network Rail's capability to deliver","Office of Rail and Road","Office of Rail and Road","Railway Planning & Performance","0207 282 2000","contact.cct@orr.gsi.gov.uk","128","1642585","1.00","0","0","","Operational Delivery","","1"
"1351","N/D","SCS1","Deputy Director, Strategy & Policy","Responsible for the access and european policy teams","Office of Rail and Road","Office of Rail and Road","Strategy and Policy","0207 282 2000","contact.cct@orr.gsi.gov.uk","585","0","0.33","0","0","","Policy","no direct reports, added to 000585","1"
"1308","N/D","SCS1","Director of Legal","Leads the team providing legal advice to ORR. The team advises on all aspects of ORR's work and manages the relationship with external lawyers.","Office of Rail and Road","Office of Rail and Road","Legal Services","0207 282 2000","contact.cct@orr.gsi.gov.uk","1303","769579","1.00","0","0","","Law","","1"
"1154","N/D","SCS1","Head of UK Delegation to CTSA & DD, Strategy & Policy","Responsible for two distinct functions within  ORR leading: the  UK  delegation  to  CTSA,  providing advice and assistance  to  the  IGC  on  all matters concerning safety  in  the  construction  and  operation  of  the Chanel  Tunnel and ensuring that Channel Tunnel health & safety is regulated and enforced in line with the obligations of the Treaty of Canterbury; and the delivery of continuous improvement of ORR’s Health and Safety Regulatory Strategy  to achieve our  vision of zero industry caused fatalities and major injuries to passengers, the public and the workforce, and will work with Health and Safety Regulators  in  Rail  in  Europe  and  other  sectors  in  the  UK,  to  ensure  that  ORR 
remains a leader in developing and applying models of risk based regulation.","Office of Rail and Road","Office of Rail and Road","Railway Safety","0207 282 2000","contact.cct@orr.gsi.gov.uk","188","1016002","1.00","0","0","","Operational Delivery","","1"
"nan","VACANT","SCS2","Director, Economic Regulation","Responsible for monitoring Network Rail against the challenges of the next five years set out in ORR’s 2013 periodic review, including financial monitoring, and overseeing the delivery of ORR’s role as the consumer authority for the rail industry","Office of Rail and Road","Office of Rail and Road","Railway Markets & Economics","N/A","N/A","2","N/D","1.00","0","0","","Policy","","1"
"944","VACANT","SCS1","Deputy Director, Markets & Competition","Manage ORR's economics team, who provide economic advice across the ORR and who are working on a range of policy projects, including work to prepare for the next periodic review of Network Rail.","Office of Rail and Road","Office of Rail and Road","Railway Markets & Economics","N/A","N/A","585","N/D","1.00","0","0","","Policy","added to 000597","1"
